titulo,tipo,data_publicacao,fonte,link
Publicação Preliminar - 2022 - Abril - Controle parlamentar por meio de autorizações orçamentárias condicionadas: Pontos de partida para o estudo da experiência brasileira com obras públicas,Publicação Preliminar,20/04/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39167
Publicação Preliminar - 2022 - Abril - Orçamento impositivo das emendas coletivas de bancada: Indo além do poder de emenda versus poder de agenda,Publicação Preliminar,20/04/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39166
Publicação Preliminar - 2022 - Abril - Gasto tributário no Brasil: Evolução e hipóteses explicativas,Publicação Preliminar,20/04/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39165
Publicação Preliminar - 2022 - Abril - Fugindo do jogo para ganhar - O peso dos gastos tributários,Publicação Preliminar,20/04/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39164
Nota Técnica - 2022 - Abril - Número 51 - Dinte - Dinâmica da economia agrícola da China e de suas províncias e regiões,Notas Técnicas,20/04/2022,Dinte,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39163
Publicação Preliminar - 2022 - Abril - Investir em Inovação é Garantir o Futuro,Publicação Preliminar,20/04/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39162
Radar - 2022 - Abril - Nº 69,Radar,18/04/2022,Diset,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39153
TD 2760 - Proteção Social Entre os Idosos Brasileiros: Tendências e Perspectivas Pós-Promulgação da Constituição Federal de 1988,TDs (todos os anos),18/04/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39148
"TD 2753 - Objetivos do Desenvolvimento Sustentável, Plano Nacional de Educação e Professores do Ensino Básico Brasileiro",TDs (todos os anos),18/04/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39154
DP 266 - The Role of Industrial Sector in The Brazilian Territorial Reconfiguration: New Expressions For XXI Century National Dilemmas,Discussion Paper (Todos anos),12/04/2022,IPEA,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=39134
