,Data de Criação,Título do Livro,Categoria,Organizadores,Link do PDF
87,27/11/2018 18:11,,CMAP 2016 a 2018: Estudos e Propostas do Comitê de Monitoramento e Avaliação de Políticas Públicas Federais,,/portal/images/stories/PDFs/livros/livros/181127_comite_de_monitoramento.pdf
88,27/11/2018 17:49,,Avaliação de Desempenho do Brasil Mais Produtivo,,/portal/images/stories/PDFs/livros/livros/181127_avaliacao_do_desempenho.pdf
89,27/11/2018 17:13,Volume 1,Fronteiras do Brasil: uma avaliação de política pública,,/portal/images/stories/PDFs/livros/livros/181112_livro_fronteira_do_brasil_uma_avaliacao_de_politica_publica.pdf
90,12/11/2018 11:25,,Políticas públicas: avaliando mais de meio trilhão de reais em gastos públicos,,/portal/images/stories/PDFs/livros/livros/181009_politicas_publicas_no_brasil.pdf
91,05/11/2018 10:08,,Financiamento do desenvolvimento no Brasil,,/portal/images/stories/PDFs/livros/livros/181105_livro_financiamento_desenvolvimento.pdf
92,05/07/2018 13:29,,Governança da política de infraestrutura : condicionantes institucionais ao investimento,,/portal/images/stories/PDFs/livros/livros/180705_livro_gover_politica_infra_condic_inst_invest.pdf
93,05/07/2018 11:32,,Burocracia e políticas públicas no Brasil : interseções analíticas,,/portal/images/stories/PDFs/livros/livros/180705_livro_burocracia_e_politicas_publicas_no_brasil.pdf
94,22/06/2018 16:26,Volume 3,Fronteiras do Brasil: uma avaliação do arco Norte,,/portal/images/stories/PDFs/livros/livros/180622_fronteiras_do_brasil_volume3.pdf
95,15/06/2018 15:28,,Novos caminhos para a inovação no Brasil,,/portal/images/stories/PDFs/livros/livros/180615_novos_caminhos_para_a_inovacao_no_brasil.pdf
96,07/06/2018 09:12,,Perfil das organizações da sociedade civil no Brasil,,/portal/images/stories/PDFs/livros/livros/180607_livro_perfil_das_organizacoes_da_sociedade_civil_no_brasil.pdf
97,29/05/2018 17:36,,A nova agenda urbana e o Brasil: insumos para sua construção e desafios a sua implementação,,/portal/images/stories/PDFs/livros/livros/180529_a_nova_agenda_urbana_e_o_brasil.pdf
98,08/05/2018 13:56,Ipea-OAB/DF,Reforma tributária,,/portal/images/stories/PDFs/livros/livros/180508_reforma_tributaria.pdf
99,04/05/2018 15:06,based modeling,PolicySpace : agent,,/portal/images/stories/PDFs/livros/livros/180504_livro_policy_space_ingles.pdf
100,23/04/2018 16:19,,Brasil Metropolitano em foco: Desafios à implementação do Estatuto da Metrópole,,/portal/images/stories/PDFs/livros/livros/180410_brasil_metropolitano_em_foco.pdf
101,11/04/2018 11:00,Volume 01,Desafios da Nação,,/portal/images/stories/PDFs/livros/livros/180327_desafios_da_nacao.pdf
102,11/04/2018 11:00,,"Desafios da Nação: artigos de apoio, volume 1",,/portal/images/stories/PDFs/livros/livros/180327_desafios_da_nacao_apoio_vol1.pdf
103,11/04/2018 11:00,,"Desafios da Nação: artigos de apoio, volume 2",,/portal/images/stories/PDFs/livros/livros/180327_desafios_da_nacao_apoio_vol2.pdf
104,06/04/2018 13:40,,Bibliotecário do Século XXI: pensando o seu papel na contemporaneidade,,/portal/images/stories/PDFs/livros/livros/180406_bibliotecario_do_sec_XXI.pdf
105,26/03/2018 14:38,,PolicySpace: Modelagem Baseada em Agentes,,/portal/images/stories/PDFs/livros/livros/180326_policy_space.pdf
106,19/03/2018 17:07,Guia Prático de AnáliseEx Ante- Volume 1,Avaliação de Políticas Públicas,,/portal/images/stories/PDFs/livros/livros/180319_avaliacao_de_politicas_publicas.pdf
107,19/03/2018 15:20,desafios e oportunidades na governança global,Brasil e o Sistema das Nações Unidas,,/portal/images/stories/PDFs/livros/livros/180319_brasil_e_o_sistema_das_nacoes_unidas.pdf
108,15/02/2018 08:56,,Terceirização do Trabalho no Brasil: novas e distintas perspectivas para o debate,,/portal/images/stories/PDFs/livros/livros/180215_terceirizacao_do_trabalho_no_brasil_novas_e_distintas_perspectivas_para_o_debate.pdf
109,14/12/2017 00:00,,A política comercial brasileira em análise,,/portal/images/stories/PDFs/livros/livros/171129_livro_politica_comercial.pdf
110,11/12/2017 08:05,,Atlas do Desenvolvimento Humano nas Regiões Metropolitanas Brasileiras,,/portal/images/stories/PDFs/livros/livros/171208_livro_atlas_idhm_desenvolvimento_humano.pdf
111,17/11/2017 15:30,,Burocracia federal de infraestrutura econômica: reflexões sobre capacidades estatais,,/portal/images/stories/PDFs/livros/livros/171117_livro_burocracia_federal_de_Infraestrutura_economica.pdf
112,13/11/2017 00:00,,O Mercosul e as regiões de fronteira,,/portal/images/stories/PDFs/livros/livros/171101_livro_mercosul.pdf
113,03/11/2017 00:00,,"Políticas de Apoio à Inovação Tecnológica no Brasil: avanços recentes, limitações e propostas de ações",,/portal/images/stories/PDFs/livros/livros/171103_politicas_de_apoio_a_inovacao.pdf
114,31/10/2017 14:00,,"Cadeias Globais de Valor, Políticas Públicas e Desenvolvimento",,/portal/images/stories/PDFs/livros/livros/171011_cadeias_globais.pdf
115,27/10/2017 16:11,"2015, volume 1",Características estruturais do sistema financeiro brasileiro: um registro da reflexão do Ipea no biênio 2014,,/portal/images/stories/PDFs/livros/livros/171027_caracteristicas_estruturais.pdf
116,17/10/2017 08:00,,"Inovação no Setor Público: teoria, tendências e casos no Brasil",,/portal/images/stories/PDFs/livros/livros/171002_inovacao_no_setor_publico.pdf
117,10/10/2017 11:04,,Arranjos produtivos locais e desenvolvimento,,/portal/images/stories/PDFs/livros/livros/171010_livro_arranjos_produtivos.pdf
118,26/09/2017 14:30,2014),Refúgio no Brasil: caracterização dos perfis sociodemográficos dos refugiados (1998,,/portal/images/stories/PDFs/livros/livros/170829_Refugio_no_Brasil.pdf
119,05/09/2017 00:00,,A Política Nacional de Agroecologia e Produção Orgânica no Brasil,,/portal/images/stories/PDFs/livros/livros/144174_politica-nacional_WEB.PDF
120,04/09/2017 11:26,,Uso do tempo e gênero,,/portal/images/stories/PDFs/livros/livros/170904_uso_do_tempo_e_genero.pdf
121,25/07/2017 10:58,,As Políticas Territoriais Rurais e a Articulação Governo Federal e Estadual: um estudo de caso da Bahia,,/portal/images/stories/PDFs/livros/livros/170725_livro_as politicas_territoriais_rurais.pdf
122,17/07/2017 16:06,,Territórios em números: insumos para políticas públicas a partir da análise do IDHM e do IVS de UDHs e regiões metropolitanas brasileiras,"Bárbara Oliveira Marguti, Marco Aurélio Costa e Carlos Vinícius da Silva Pinto / Brasília, 2017",/portal/images/stories/PDFs/livros/livros/170828_livro_territorios_numeros_insumos_politicas_publicas_2.pdf
